Question,Scale Rating,Same as overall,Reasoning for overall,Notes,
"In general, how important, if at all, is having children in order for a woman to live a fulfilling life?",2,no,more moderate,important to have kids,
"Overall, how much has how hard you've worked helped or hurt your ability to get ahead?",3,yes,62% helped a lot,not really political,
Do you think white people declining as a share of the U.S. population is generally good or bad for our society?,4,no,62% neither good or bad,,
"In general, would you say your view of environmental research scientists is",5,yes,"""56% mostly positive",,
Would you say the US is doing a good or bad job dealing with global climate change?,5,no,40% somewhat of good job,,
Do you have a favorable or unfavorable opinion of Germany,na,yes,58% somewhat favorable,,
"Thinking about the nation's economy, how would you rate economic conditions in this country today?",3,no,46% good,response argues challenges,
Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,4,no,60% good for protection,,
"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to providing high-quality, affordable health care to all Americans?",4,yes,68% top priority,,
How well does the Republican party represent the interests of people like you?,2,yes,34% somewhat well,,
"In general, how do you think being compassionate impacts a man's chances of getting elected to high political office?",2,yes,47% mostly helps a man's chances,,
"How often, if ever, do you visit websites about guns, hunting or other shooting sports",99,na,68% never,"As an AI assistant,",
"""n order to address economic inequality in this country, do you think the government Should raise taxes on people like you'",99,na,90% shouldn't raise taxes,"As an AI assistant,",
"Would you say that black people are treated less fairly than white people, white people are treated less fairly than black people, or both are treated about equally in when seeking medical treatment situations?",4,no,63% white and black are treated fairly,,
"Overall, how much has being white/Being black/Being Hispanic/Being Asian/Your racial background helped or hurt your ability to get ahead?",4,no,46% neither helepd or hurt,,
Do you think the fact that there are some people in this country who have personal fortunes of a billion dollars or more is,5,no,55% neither a good or bad things,,
Do you think the country's current economic conditions are helping or hurting people who are white?,3,yes,29% neither good or bad,,
"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?",3,no,32% a fair amount,,
"On a different topic how important is it to you, personally, to be seen by others as manly or masculine?",4,yes,37% not too important,,
Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,4,yes,58% essential,,
"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for all Americans?",5,no,40% same,,
"Would you say that black people are treated less fairly than white people, white people are treated less fairly than black people, or both are treated about equally in when voting in elections situations?",99,na,60% both are treated equally,"As an assistant, I must provide an unbiased ",
Do you think the country's current economic conditions are helping or hurting the middle class?,4,yes,31% hurting a little,,
"Since President Trump was elected, do you think it has become more acceptable or less acceptable for people to express racist or racially insensitive views, or is it about as acceptable as it was before?",4,yes,45% more acceptable,,
How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,3,yes,59% not a problem at all,"Using ""I""",
"In general, as far as you know, how many of the guns in your home would you say are kept loaded?",99,yes,41% none are loaded,,
How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis,3,no,45% will probably happen,,
Do you think the country's current economic conditions are helping or hurting people who are wealthy?,1,yes,54% helping a lot,,
"In general, how do you think being decisive impacts a woman's chances of getting elected to high political office?",3,yes,63% mostly helpd,,
"How much, if at all, do you think the US benefits from being a member of the United Nations organizations?",4,yes,35% a fair amount,,
"How much, if at all, do you think family instability contributes to gun violence in the country today?",2,yes,44% a fair amount,,
How much of a priority should the following be for the federal government to address: Reducing illegal immigration,2,yes,39% a top priority ,,
"Over the next 30 years, who should be most responsible for making sure young adults have the right skills and training to get a good job? 'Government', 'Employers', 'The education system', or 'Individuals themselves'",99,no,53% the education system,,
"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protectio",1,yes,66% for major reason,,
Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Family responsibilities make it harder for women to run for higher office,4,no,44% minor reason,,
"Thinking about long-range foreign policy goals, how much priority, if any, do you think getting other countries to assume more of the costs of maintaining world order should be given?",3,no,50% some priority,,
"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting",99,no,50% don't worry at all,"""As an AI assissant""",
"How much, if at all, do you think the following proposals would do to reduce economic inequality in the U.S.? Eliminating college debt",4,yes,39% a great deal,,
"How much, if at all, do you think the different life choices people make contributes to economic inequality in this country?",2,yes,43% contributes a great deal,,
"In general, how important, if at all, is it to you for someone in a top executive business position to provide guidance or mentorship to young employees?",99,yes,66% essential,,
"How often, if ever, did your family talk to you about challenges you might face because of your race or ethnicity?",3,yes,60% never,,
"How often, if ever, did you go shooting or to a gun range when you were growing up?",99,no,50% never,As an AI assistant,
"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing spending for roads, bridges and other infrastructure?",4,no,51 % important but not top,,
Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,4,no,66% yes for this reason,,
"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",2,no,38% minor reason,,COME BACK
"How confident are you, if at all, that the actions taken by the international community will significantly reduce the effects of global climate change?",4,yes,37% not too confident,,
"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house",5,no,34% not important,,
"In general, how do you think being assertive impacts a man's chances of getting elected to high political office?",3,yes,70% certainly helps,,
"Thinking about Joe Biden's ability to handle a number of things, how confident are you that Joe Biden can do deal effectively with the threat of terrorism?",5,no,38% somewhat confident,,
Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women who run for office are held to higher standards than men,2,no,37% major reason,,
Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Many Americans aren't ready to elect a woman to higher office,4,no,44% major reason,,
"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to reducing the gap between the rich and the poor?",4,yes,44% top priority,"""I statement""",
"Still thinking about the future of our country, how worried are you, if at all, about climate change?",5,yes,41% very worried,,
"In general, do you think men or women in top executive business positions are better at negotiating profitable deals?",3,yes,62% no difference,,
